word,phonetic,pos,meaning,example,exampleCn,category,level,list
four,fɒ:,n.,"num. 四, 四个\n[机] 四冲程循环","Students often meet the word ""four"" in reading and daily communication.",这个例句展示了“four”在日常交流中的常见用法。,daily,,
always,'ɒ:lweiz,adv.,"adv. 总是, 始终",I will always be there to help you.,这个例句展示了“always”在日常交流中的常见用法。,daily,,
few,fju:,n.,"a. 很少的, 不多的, 少数的\nn. 少数",It was designed for the discriminating few.,这个例句展示了“few”在日常交流中的常见用法。,daily,,
end,end,v.,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余\nv. 结束, 终结, 终止\n[计] 端; 结束",The end of the pier.,这个例句展示了“end”在日常交流中的常见用法。,daily,,
without,wi'ðaut,prep.,"prep. 没有, 不, 在...之外\nadv. 在外面, 户外\nn. 外面, 外部","Students often meet the word ""without"" in reading and daily communication.",这个例句展示了“without”在日常交流中的常见用法。,daily,,
during,'djuәriŋ,prep.,prep. 在...的时候,"Students often meet the word ""during"" in reading and daily communication.",这个例句展示了“during”在日常交流中的常见用法。,daily,,
right,rait,adv.,"n. 权利, 右边, 正义, 右派, 公正\na. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的\nadv. 正确地, 以有利结果, 一直, 直接, 向右\nvt. 扶直, 整理, 纠正, 伸冤, 使昭雪\nvi. 恢复",A right is not something that somebody gives you; it is something that nobody can take away.,这个例句展示了“right”在日常交流中的常见用法。,daily,,
hear,hiә,v.,"vt. 听到, 倾听, 听说, 审理\nvi. 听见, 听",We must hear the expert before we make a decision.,这个例句展示了“hear”在日常交流中的常见用法。,daily,,
word,wә:d,v.,"n. 话, 消息, 词, 诺言, 命令\nvt. 用言辞表达\n[计] 字",He didn't say a word about it.,这个例句展示了“word”在日常交流中的常见用法。,daily,,
question,'kwestʃәn,v.,"n. 问题, 询问\nv. 询问, 审问, 怀疑\n[计] 询问",There was a question about my training.,这个例句展示了“question”在日常交流中的常见用法。,daily,,
before,bi'fɒ:,prep.,prep. 在...之前\nconj. 在...之前\nadv. 在前,I had known her before.,这个例句展示了“before”在日常交流中的常见用法。,daily,,
next,'nekst,adv.,"n. 下一个\na. 下一个的, 其次的, 贴近的\nadv. 然后, 下次, 次于\n[计] 近邻干扰",Next in line.,这个例句展示了“next”在日常交流中的常见用法。,daily,,
play,plei,v.,"n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本\nv. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动\n[计] 播放",The play lasted two hours.,这个例句展示了“play”在日常交流中的常见用法。,daily,,
run,rʌn,v.,"n. 跑, 赛跑, 奔跑, 奔跑的路程, 趋向, 流出, 运转时间, 连续\nvi. 跑, 奔跑, 跑步, 赛跑, 竞赛, 行驶, 运转, 进行, 蔓延\nvt. 使跑, 参赛, 追究, 驾驶, 开动, 管理, 经营, 使流出, 运行\na",She broke the record for the half-mile run.,这个例句展示了“run”在日常交流中的常见用法。,daily,,
going,'gәuiŋ,n.,"n. 去, 离去, 工作情况, 地面状况, 行为\na. 进行中的, 流行的, 成功的, 现存的",Persuading him was easy going.,这个例句展示了“going”在日常交流中的常见用法。,daily,,
quite,kwait,adv.,"adv. 相当, 完全, 十分",Quite tasty.,这个例句展示了“quite”在日常交流中的常见用法。,daily,,
move,mu:v,v.,"n. 移动, 迁居, 步骤\nvt. 移动, 开动, 感动, 搬(家)\nvi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手\n[计] 移动; 传送; DOS外部命令:移动文件, 它可将文件移动到指定的地方",He didn't make a move to help.,这个例句展示了“move”在日常交流中的常见用法。,daily,,
five,faiv,n.,"num. 五, 五个","Students often meet the word ""five"" in reading and daily communication.",这个例句展示了“five”在日常交流中的常见用法。,daily,,
head,hed,v.,"n. 头, 头脑, 领袖, 脑袋, 最前的部分\nvt. 为首, 朝向, 前进, 用头顶\nvi. 朝特定方向行进, (作物)结穗\na. 头的, 在顶端的, 主要的\n[计] 磁头; 冲头",He stuck his head out the window.,这个例句展示了“head”在日常交流中的常见用法。,daily,,
night,nait,n.,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作\n[法] 夜, 黑夜, 黑暗",I had a restless night.,这个例句展示了“night”在日常交流中的常见用法。,daily,,
live,liv.laiv,adv.,"a. 活的, 生动的, 精力充沛的, 实况转播的\nvi. 活, 生存, 居住\nvt. 过着, 度过, 经历\nadv. 实况地",We had to live frugally after the war.,这个例句展示了“live”在日常交流中的常见用法。,daily,,
write,rait,v.,"vt. 书写, 著述, 写, 写满, 写信给\nvi. 写, 写字, 写信, 写作, 作曲\n[计] 书写器",Please write to me every week.,这个例句展示了“write”在日常交流中的常见用法。,daily,,
side,said,v.,"n. 旁边, 侧, 方面, 胁, 侧边, 血统\na. 旁的, 侧的, 次要的\nvt. 同意, 支持\nvi. 支持, 赞助",They always sat on the right side of the church.,这个例句展示了“side”在日常交流中的常见用法。,daily,,
set,set,v.,"n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的",A set of books.,这个例句展示了“set”在日常交流中的常见用法。,daily,,
month,mʌnθ,n.,n. 月\n[经] 月,He paid the bill last month.,这个例句展示了“month”在日常交流中的常见用法。,daily,,
today,tә'dei,adv.,"n. 今天, 当今, 现在\nadv. 今天, 当今",The world of today.,这个例句展示了“today”在日常交流中的常见用法。,daily,,
long,lɒŋ,adv.,"a. 长的, 长久的, 冗长的, 做多头的\nvi. 渴望, 热望, 极想\nadv. 长久, 始终\nn. 长时间, 长信号, 长整型\n[计] 长, 长整型",A long life.,这个例句展示了“long”在日常交流中的常见用法。,daily,,
important,im'pɒ:tәnt,adj.,"a. 重要的, 有地位的, 大量的, 显要的, 自负的\n[计] 要点",Important people.,这个例句展示了“important”在日常交流中的常见用法。,daily,,
eye,ai,v.,"n. 眼睛, 视力, 看\nvt. 看, 注视",She has an eye for fresh talent.,这个例句展示了“eye”在日常交流中的常见用法。,daily,,
home,hәum,adv.,"n. 家, 避难所, 故乡\na. 家庭的, 国内的, 打中目标的\nadv. 在家, 在本国, 打中目标地\n[计] 返回始位",Deliver the package to my home.,这个例句展示了“home”在日常交流中的常见用法。,daily,,
million,'miljәn,n.,"n. 百万, 无数\nnum. 百万","Students often meet the word ""million"" in reading and daily communication.",这个例句展示了“million”在日常交流中的常见用法。,daily,,
information,.infә'meiʃәn,n.,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉\n[计] 信息",The signal contained thousands of bits of information.,这个例句展示了“information”在日常交流中的常见用法。,daily,,
water,'wɒ:tә,v.,"n. 水, 雨水, 海水, 水位, 水面, 流水\nvt. 给...浇水, 供以水, 注入水, 使湿\nvi. 流泪, 流口水, 加水\na. 水的, 水上的, 水生的, 含水的",They were sitting by the water's edge.,这个例句展示了“water”在日常交流中的常见用法。,daily,,
pay,pei,v.,"n. 薪资, 付款, 补偿\nvt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物\nvi. 付款, 付出代价, 偿还, 得到报应, 获得好处",He wasted his pay on drink.,这个例句展示了“pay”在日常交流中的常见用法。,daily,,
room,ru:m,v.,"n. 房间, 空位, 场所\nvi. 住宿, 居住\nvt. 留宿",Room to pass.,这个例句展示了“room”在日常交流中的常见用法。,daily,,
young,jʌŋ,n.,"a. 年轻的, 无经验的, 朝气蓬勃的\nn. 青年们, 幼小动物, 崽",Rock music appeals to the young.,这个例句展示了“young”在日常交流中的常见用法。,daily,,
both,bәuθ,pron.,a. 两者的\nadv. 两者都\npron. 两者,Both girls are pretty.,这个例句展示了“both”在日常交流中的常见用法。,daily,,
mother,'mʌðә,v.,"n. 母亲, 修女院长\nvt. 产生, 照看, 收养",The mother of three children.,这个例句展示了“mother”在日常交流中的常见用法。,daily,,
often,'ɒ:fn,adv.,"adv. 时常, 常常",We often met over a cup of coffee.,这个例句展示了“often”在日常交流中的常见用法。,daily,,
money,'mʌni,n.,"n. 金钱, 一笔款, 财富, 货币, 金额\n[经] 货币, 金钱, 财产",We tried to collect the money he owed us.,这个例句展示了“money”在日常交流中的常见用法。,daily,,
development,di'velәpmәnt,n.,n. 发展\n[化] 展开,He congratulated them on their development of a plan to meet the emergency.,这个例句展示了“development”在日常交流中的常见用法。,daily,,
book,buk,v.,"n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿",I am reading a good book on economics.,这个例句展示了“book”在日常交流中的常见用法。,daily,,
away,ә'wei,adv.,adv. 离去,He's away right now.,这个例句展示了“away”在日常交流中的常见用法。,daily,,
lot,lɒt,v.,"n. 运气, 签, 抽签, 份额, 许多, 一堆\nvt. 划分\nvi. 抽签, 抓阄",A lot of money.,这个例句展示了“lot”在日常交流中的常见用法。,daily,,
form,fɒ:m,v.,"n. 形状, 形体, 类型, 方式, 表格, 形式\nv. 形成, 排列, (使)组成\nn. 表单\n[计] 表单",Sculpture is a form of art.,这个例句展示了“form”在日常交流中的常见用法。,daily,,
second,'sekәnd,v.,"n. 秒, 瞬间, 第二名, 支持者, 助手\na. 第二的, 其次的, 次要的, 附加的, 辅助的\nnum. 第二\nvt. 当...助手, 支持",He came in a close second.,这个例句展示了“second”在日常交流中的常见用法。,daily,,
job,dʒɒb,v.,"n. 工作, 零活, 职业, 事情\nvi. 做零工, 打杂, 做股票经纪, 假公济私\nvt. 代客买卖, 批发, 承包, 欺骗\n[计] 作业",Estimates of the city's loss on that job ranged as high as a million dollars.,这个例句展示了“job”在日常交流中的常见用法。,daily,,
early,'ә:li,adv.,"a. 早的, 早熟的\nadv. 很早, 初",Early morning.,这个例句展示了“early”在日常交流中的常见用法。,daily,,
though,ðәu,conj.,"adv. 然而, 可是\nconj. 虽然, 纵然","It might be unpleasant, though.",这个例句展示了“though”在日常交流中的常见用法。,daily,,
london,'lʌndәn,n.,n. 伦敦,"Students often meet the word ""london"" in reading and daily communication.",这个例句展示了“london”在日常交流中的常见用法。,daily,,
kind,kaind,n.,"n. 种类, 性质, 方式\na. 亲切的, 仁慈的, 和蔼的",Kind to sick patients.,这个例句展示了“kind”在日常交流中的常见用法。,daily,,
far,fɑ:,adv.,"a. 远的, 久远的, 遥远的\nadv. 甚远地, 很, 到很深的程度, 到很远的距离",We come from a far country.,这个例句展示了“far”在日常交流中的常见用法。,daily,,
black,blæk,n.,"n. 黑色, 黑颜料\na. 黑色的",In the black of night.,这个例句展示了“black”在日常交流中的常见用法。,daily,,
already,ɒ:l'redi,adv.,"adv. 已经, 早已",She has already graduated.,这个例句展示了“already”在日常交流中的常见用法。,daily,,
little,'litl,adv.,"n. 一点点, 少许, 一会儿, 短时间\na. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的\nadv. 很少, 稍微, 完全不",He accepted the little they gave him.,这个例句展示了“little”在日常交流中的常见用法。,daily,,
possible,'pɒsәbl,n.,"a. 可能的, 潜在的, 合适的\nn. 可能性, 可能的事物",Politics is the art of the possible.,这个例句展示了“possible”在日常交流中的常见用法。,daily,,
nothing,'nʌθiŋ,adv.,"n. 无, 不关紧要之事, 零\nadv. 毫不, 决不\ninterj. 什么也没有, 无",It looked like nothing I had ever seen before.,这个例句展示了“nothing”在日常交流中的常见用法。,daily,,
meet,mi:t,v.,"n. 会, 集会\na. 适宜的, 合适的\nvt. 遇见, 引见, 认识, 满足, 对付\nvi. 相遇, 接触",Does this paper meet the requirements for the degree?,这个例句展示了“meet”在日常交流中的常见用法。,daily,,
since,sins,prep.,"prep. 自...以后, 自...以来\nadv. 自那时以后\nconj. 既然, 自...以后, 自...以来","Students often meet the word ""since"" in reading and daily communication.",这个例句展示了“since”在日常交流中的常见用法。,daily,,
yet,jet,conj.,"adv. 还, 尚, 仍然, 已经, 然而\nconj. 然而",I have yet to see the results.,这个例句展示了“yet”在日常交流中的常见用法。,daily,,
around,ә'raund,prep.,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",Hanging around.,这个例句展示了“around”在日常交流中的常见用法。,daily,,
friend,frend,n.,"n. 朋友, 支持者, 赞助者\n[法] 朋友, 友人, 赞助者",He was my best friend at the university.,这个例句展示了“friend”在日常交流中的常见用法。,daily,,
whether,'hweðә,conj.,"conj. 是否, 不论\npron. 两个中的哪一个","Students often meet the word ""whether"" in reading and daily communication.",这个例句展示了“whether”在日常交流中的常见用法。,daily,,
